FEN,Evaluation
r4rk1/2P5/p5p1/1p2R2p/5qN1/1Q5P/PP3P2/2R3K1 b - - 2 29,8476
Q7/2R2pbk/1p1p2p1/3Pp1q1/1PP1P3/4NPP1/5BpP/7K w - - 0 46,8478
5r1k/8/3NK1Q1/3P4/P3p3/8/1q4b1/4R3 b - - 1 51,848
1r2rb2/6k1/p2Pb1np/qpPBp1p1/8/3Q2PP/PB1N1P1K/2R1R3 w - - 7 31,8485
3R1r1k/2P3p1/5q1p/7P/7K/3Q2P1/8/8 w - - 29 82,8488
3kb1nr/2p5/1p1P1p1p/1P2p2q/2B1P1pP/6P1/5P2/2BQR1K1 b - - 0 25,8489
5qk1/5p2/3p1Qp1/2pP3p/Pn3P2/1P5P/6PK/3R4 b - - 0 43,849
q4r2/1R1P1p1k/2P1p1pp/8/3Q4/7P/5PPK/8 w - - 1 43,8490
q7/4r2k/p3P1pp/3n2n1/2NQ4/1P5P/P4RP1/5RK1 w - - 1 42,8495
r1b1rn2/2q1bk1p/p2p1P2/5p1Q/1p1BP3/2NP3R/PP5P/R6K b - - 2 24,8497
r2q1rk1/ppp2ppp/1b4b1/3P1n2/P4R2/2N1BN1P/1P3PP1/R2Q2K1 w - - 1 17,85
4n1k1/2q2p2/4p2p/3p1N1P/2bP4/Qp4R1/5PP1/6K1 b - - 3 62,850
7r/p1p2kpp/1bB5/3p1p2/Q2P4/B4P2/P2q1P1P/4R2K w - - 4 21,8501
8/4p1Qp/4PP2/3p4/5P1P/5kp1/4n2K/8 w - - 0 59,8502
r3k3/2p3pp/1np1b2q/2NpP3/pQ4PB/7P/PPP5/1K3R2 w q - 15 36,8506
4k3/2pb3P/2pp4/4pP2/p1P1Pq2/PP4Q1/6BK/8 b - - 2 48,8507
2r5/b2N1k2/1pP3pp/pP2R3/P4PP1/5K1P/8/8 w - - 0 43,851
4r1k1/6qp/p2pP3/n1pP1Q2/2P5/Pr6/4BR1P/5R1K b - - 0 36,8511
1nr2knQ/p2p2r1/3Pp3/1p2N3/3P1P2/P7/1P1K1P2/7R b - - 4 32,8514
3brkr1/ppq2ppp/2p2P1B/5R1Q/2B5/8/PPP1N1P1/5R1K b - - 0 21,8515
8/6kp/6p1/P2Q2P1/8/7P/1b2KP2/r7 w - - 1 58,8516
1r4k1/1p2Prbp/pNn1Bnp1/2B2q2/P4P2/8/7P/2R1QR1K b - - 10 30,852
2r4k/6R1/1P1p1n1p/pQ3P2/P2B3q/2P2p2/1K3P1P/8 w - - 1 40,8521
2k5/pRn5/3p1P2/1P6/3PP3/2P5/5K2/8 w - - 1 47,8525
5rk1/8/p6Q/2pqP2p/6bP/P4p2/1P6/K3RR2 w - - 0 40,8527
4q1k1/3b2pp/p7/1p1p4/2pQnP2/5BP1/PP2R1KP/8 w - - 6 30,853
8/p7/2kPp1p1/2p1KPP1/P6p/4N1nP/8/8 w - - 0 56,8530
5k2/8/8/3P3Q/2n4P/6P1/5PK1/3q4 w - - 3 99,8535
1r6/3R1R2/7p/p1pBk3/2P3P1/PP1n3P/1b6/7K w - - 3 41,854
8/8/p3kP2/1p4P1/1P1PK3/P1P5/8/8 b - - 0 43,8544
3rr1k1/pp2qp2/1bnpbp1B/8/2pP1Q2/2P3NP/PPB3PN/R3R1K1 w - - 3 24,8545
Q5k1/p4q2/1p2p1pp/n7/b2P4/P7/1P3PPP/1B2R1K1 b - - 0 26,855
5rk1/1p2r3/3p1q1p/6p1/P2b4/3Q2PP/4RPB1/1R4K1 w - - 0 36,856
r5n1/2n4k/3p1pq1/2pPpR1p/2P1P3/1B3Q1P/3B2PN/6K1 b - - 0 35,857
r3r1k1/pp1b1p1p/3p4/q1pPb1B1/P3P1n1/R4BP1/1PQ2N1P/5RK1 w - - 9 23,858
3r2k1/1QPP1pp1/8/8/q4Pp1/P1pR4/3K1P1P/8 w - - 0 35,8580
1Q3rk1/p5pp/q1P2p2/1b1P4/1p1N4/1P4P1/P4P1P/4R1K1 w - - 3 29,8585
br3rk1/6n1/1p1pP3/pqpP1pQN/8/5B1P/1P3R2/5RK1 b - - 3 37,8587
2q1b3/r6k/5Rp1/2rPp2p/2P1P3/2R3PP/5QBK/8 w - - 1 40,859
r1bq1r1k/pp1pNppp/2pQ1P2/n1P1n3/4P3/1P6/P1P3PP/R1B2RK1 b - - 3 15,8590
8/p3k3/2r1p3/1p3pp1/2r5/P1P1R2P/1PK2PP1/4R3 b - - 3 35,86
3r2k1/5pBp/2n3p1/2p5/P7/1P4QP/4b1B1/7K b - - 0 37,860
r1q3nr/p2k1p2/2p1p1pp/2Q1P3/4N3/8/PPP2PPP/2KR3R b - - 3 18,8609
1br5/5p1k/R1pp1q2/1p3PrP/1P1PPQ2/1BP5/4R3/5K2 w - - 5 49,861
n1r1r2k/p3P1pp/1p1B1n2/q1P3Nb/3Q4/1B2R3/P5PP/5RK1 w - - 0 26,8611
8/2B1kpr1/2p1q3/4Q3/4P3/P1PP3P/1P3R1K/8 w - - 3 38,8615
5r1k/5p1P/q1p1p2B/3n4/1b1P4/1P3P2/p1Q5/K2R3R w - - 3 33,8618
r7/6p1/1k5p/1P5P/P1R3P1/3K4/8/8 w - - 9 62,862
8/3k2bP/p2p2P1/2pPpKB1/2P1P3/P4Q2/8/6q1 w - - 7 45,8621
4rk2/P7/2qN1bp1/2p1P3/P1Q5/R7/1P5P/6K1 b - - 3 35,8625
6k1/5pPp/1p2qP2/r1ppr3/1p1N1Q1N/3P3P/PR3P2/5R1K b - - 0 36,8627
r2qn1k1/1R3p1p/2QpP1p1/P1p5/2NbP3/6P1/3B1PKP/8 b - - 0 27,863
4R3/pqp4k/np3ppp/3P1r2/2P5/B5P1/PQ3P1P/6K1 w - - 0 28,8630
2r1q2k/2P3p1/5pPp/3Q1P2/p3p3/P7/1P6/1KR5 w - - 3 51,8639
8/pp6/3bkPr1/3rpRPp/4K3/P3B2P/1P1p4/3R4 w - - 2 41,864
1r1k4/R5pp/1P3b2/B1Pp1p2/3PpP2/4P3/6PP/6K1 w - - 5 41,8644
3r1k2/1b3p1p/p7/1pp4n/8/2PP1qP1/PPB2Q2/4RNK1 w - - 0 28,865
1n6/2k5/8/NK6/PP6/8/8/8 b - - 0 64,866
8/5k2/2np4/5N1P/5P2/P1B1PK2/1Pr3P1/8 b - - 2 40,867
8/PR3pk1/5rpp/8/4p3/1p2P1P1/3R1PKP/q4B2 w - - 1 46,868
1r4k1/6p1/2p3Qp/Bq2p3/1PN1P3/8/P3K3/2R2R2 b - - 0 38,8682
1r4k1/p2q1ppp/2p1p3/4P1Q1/2P5/6N1/r4PPP/4R1K1 w - - 0 26,869
8/4k3/1n4P1/3P3P/3K4/2pB4/8/8 w - - 4 63,8691
3r2k1/3b1p2/p1pN1QqB/4P3/P7/2P4p/1P4pP/R3R1K1 w - - 7 33,8696
r1b1kb1r/p2p1n1p/2p1p1p1/q3Pp2/N4B1P/1B2Q3/PPP2PP1/3RR1K1 b kq - 2 17,87
3n1k2/1pr1q1pp/p7/3p4/5Q2/6PB/P4P1P/4R1K1 b - - 1 31,870
4Q3/5b2/6k1/p1P1P1pp/8/1P5P/P4PP1/6K1 w - - 2 32,8707
3r3k/3bQ2n/p2p2p1/1p1Pr2p/2PBP3/1q1B3P/R5P1/5R1K b - - 2 34,8708
4r3/7k/3Pq1pp/4Pp2/8/P2Q4/1P4PP/5RK1 w - - 0 32,871
1r3k2/pq3p1B/3p1P2/2p3Qp/3b4/3P2PP/P7/4RR1K w - - 5 31,8718
2kr3r/pp3p1p/8/3P1b2/5Q2/b1P2P2/P2K2PP/3R1B1R b - - 2 19,872
2R5/2P1k3/1P2n3/B7/4Pp1r/6p1/P5B1/6K1 b - - 1 59,8726
8/r5b1/5N2/5KP1/1P1k4/P3R3/8/8 w - - 9 68,873
1q5k/p4Q1p/6pb/3BP3/2pp4/P6P/1P4P1/3K1R2 w - - 1 32,8735
1r3bk1/5R2/1P3Pp1/2pPp1P1/1qN4p/1P1Q3P/5K2/8 b - - 0 50,8739
3k1b2/5p2/2K2p1p/2p1pN2/2P1P1PP/1P3P2/8/8 b - - 0 40,874
5k2/1R6/p1pK2pp/P7/1P5P/6P1/2b5/8 b - - 0 42,875
r4k2/1rpQ2bp/3p2p1/pN1n1p2/1q2p3/1P2P1PP/P4P2/1RR2BK1 w - - 0 27,876
r5k1/pp3pb1/1q3Bn1/3pP2Q/8/PP3N2/5P2/3R2K1 w - - 2 34,8763
1bk5/5p2/q5p1/2PPp2p/1B6/6P1/r4P1P/1R1Q2K1 w - - 1 41,877
2n5/4k3/6P1/3PK2P/5N2/5p2/5P2/8 w - - 1 65,8770
2rq1r2/1p6/p5kp/4Bbp1/3PQ1PP/8/P4P2/R5K1 w - - 0 27,878
4r2k/P1n4p/6p1/R3b3/1Q6/1N6/2P3PP/3q2BK w - - 3 37,8782
7r/k1Q2n2/pp2PPB1/3b2p1/2pP4/2P5/qP1B4/2K1R3 b - - 1 33,8784
r6k/p4p1p/1pn2pr1/5q2/3P1N2/2P2QP1/P4P2/R3R1K1 w - - 2 25,879
r1br1b2/p1q4p/1p2kP2/2p1PQ2/6pP/1P2P3/PBP3P1/R4RK1 b - - 7 26,8797
3qr1k1/1bpr1pb1/1p1p1np1/pNn4p/P1P1P3/2N2PPP/1PQ1RBB1/4R1K1 w - - 4 22,88
Q1b4k/6bp/1p1q2p1/3Pp3/2P1P1n1/4B3/6PP/5BK1 w - - 0 26,880
1r2r3/2q1b1k1/1n1p1p1p/2p1PR2/PpB2P1P/8/PBQ5/4R1K1 b - - 0 30,881
3r1k2/ppqr1pp1/4p3/3p4/3P3R/2P4Q/PP4PP/5RK1 w - - 6 26,8813
8/2r5/5k2/1PNK2p1/7p/6P1/P6P/8 b - - 0 45,882
1r3rk1/1p5R/p2p1nP1/2pPqPB1/P7/2Q5/1P2B3/2KR4 w - - 8 35,8824
rqb1k2r/pp3pbp/1n4p1/3pN3/5P2/B7/Q2NB1PP/2R1K2R w Kkq - 0 19,8825
8/6kp/p2R4/2nP2P1/8/Pnb1N3/5P2/2B2K2 w - - 1 51,883
rk1n4/b3R3/pp5p/2PP2p1/PP6/8/5PPP/2R3K1 w - - 2 29,8837
8/3r4/2pP1p2/R7/5bPk/PP2p2P/4K3/3R4 b - - 0 46,884
8/2Bp4/p1kP3P/P4K2/5PR1/4b2r/8/8 w - - 3 55,885
4rk1r/pR3pq1/3pNR1p/1P1Pn1P1/7P/2N3P1/PP1BQ3/6K1 b - - 7 25,8856
8/3R4/1r6/5p2/3PpBk1/bP2P1P1/P3K3/8 b - - 4 57,886
6r1/5k1p/1PP2p1b/2Bp4/3P4/P4NP1/5P1P/4R1K1 b - - 0 36,8861
3K4/8/3kp1P1/3pNn1p/1P1P1P1P/8/8/8 b - - 0 68,8869
3qr1k1/2p2pp1/p6p/3P4/2pQ2P1/2P1R2P/P3R1K1/8 b - - 1 40,887
8/4k3/7P/3n2K1/6P1/5R2/1B6/7r b - - 0 75,888
5k2/4R2p/2r1Ppp1/1Np5/qnP5/7P/4Q1P1/4R2K b - - 0 45,8880
5k2/3r1p1Q/6p1/3pPnN1/q1p1R3/1r4P1/2R2PKP/8 w - - 2 42,8884
8/5Pk1/1p2n3/p5P1/P5K1/8/1P2B3/8 b - - 2 65,889
3rk2r/pppqb1pp/1nn1pP2/8/2PP4/P3B3/1P1NN1PP/R2Q1RK1 b k - 0 15,89
8/6rk/1pN1p3/pP5p/P2P4/5R1P/6P1/6K1 w - - 1 41,890
3Qn3/pp6/3P1p2/2Pk1p2/P6p/5NrP/4KPq1/3R4 b - - 5 38,8906
k4r2/6R1/PP6/6K1/8/8/5P2/8 w - - 9 67,8907
8/p1k3p1/1p3p1p/1P2pP1P/P1P5/5P2/2K5/8 b - - 0 38,891
1nrq1r1k/1p1bp1b1/p2pP2p/3N2NQ/2P5/1P5P/PB3PP1/R2R2K1 b - - 1 23,8918
n7/P7/6N1/1pK4p/8/6k1/8/8 w - - 3 58,892
b3q1k1/4r1n1/1p1pPQ2/p1pP1p2/8/5B1P/1P4R1/5RK1 w - - 3 41,8924
r5k1/pp5p/1q4p1/3pQ3/8/7P/P4PP1/3R2K1 w - - 1 26,893
3N4/1r1Pp3/p3P1kp/1p4p1/5p2/PP6/n4PPP/3RR1K1 b - - 0 40,8931
3r1r1k/R6p/3pbbp1/2p1p3/2P1P2P/1P4P1/4Q3/R5K1 w - - 1 41,894
r1bq1k1r/3n1ppp/pp5B/2pP3Q/2P5/2PB4/P2K2P1/4R2R b - - 1 19,895
8/2q2p1k/1pPp3p/p2Np1r1/PbP1P2N/1P3QP1/2R2P1K/8 b - - 4 39,8952
1rn2bk1/1BQ2p2/3p1q2/3Pp2p/P1R1P1P1/6PP/5B2/6K1 b - - 2 51,896
5rk1/5p1p/3q2p1/p1p4n/B3P3/2P4P/1P3PP1/R2R2K1 w - - 0 27,897
3rq3/p1r3k1/b4p1p/2bBpQpP/2P3P1/4P3/PB3P2/2RR2K1 w - - 3 31,898
8/Qp3pk1/2r1pn2/P5pp/4P3/5PPK/1P5P/8 w - - 0 42,899
r5k1/q1pbr1p1/1p4QB/p1bPp3/P5P1/5N1P/1P3P2/2R2RK1 w - - 2 32,8994
rq3rnk/pp1R2p1/2p1Pp1p/5Q2/1P2P3/P1B4P/6P1/5RK1 w - - 3 31,8996
5r1k/1P4pp/P7/2p2p2/2QbqB2/6P1/5P1P/1R4K1 w - - 1 35,8999
8/5k2/3n2p1/2p1b3/8/5K2/4B3/2R5 b - - 11 53,9
1brq1rk1/pb1n1ppp/1p2p3/1N1p3n/3P4/1P3NP1/PQ1BPPBP/R4RK1 w - - 8 15,90
8/4pkR1/p2p1r1q/1p1P4/1Pr3Q1/2P3R1/1P4P1/6K1 b - - 3 37,900
2Qb2r1/6k1/1q1p4/pP2p3/5pP1/7Q/6P1/2R4K b - - 0 40,9001
8/8/2B2kp1/3P4/5K1P/5P2/2b5/8 b - - 8 50,901
8/4k1bP/p2p2P1/2pPpKB1/2P1P3/P4Q2/8/6q1 b - - 6 44,9013
8/7p/p1k1p3/4p1p1/PP2P1PP/3K4/8/8 b - - 0 46,902
8/6k1/PR6/6PP/6K1/5P2/8/r7 w - - 3 66,9024
2rqkb1r/5p2/p1bppp2/3N1N1p/2P1P3/5Q1P/P4PP1/1R2R1K1 w k - 2 20,903
1r2k3/pq3r1p/5p2/2p1p2n/4P1N1/P1P3P1/1P3Q1P/4RR1K w - - 2 28,904
8/2r3pk/P1P2p1p/1PN5/8/4R2P/4K1P1/8 w - - 3 50,9043
2QR1nk1/p3qppp/1p2p3/1r6/4N3/4P1P1/PP3P1P/6K1 w - - 2 32,905
7k/1p2R3/8/p7/2B1R1PK/1Pq4P/8/7r w - - 3 50,906
6k1/2p5/p2p4/1p1P2PP/4RP2/2P5/3r4/7K b - - 0 42,907
r5k1/q1pbr1p1/1p4QB/p1bPp1N1/P5P1/7P/1P3P2/2R2RK1 b - - 3 32,9072
8/7p/1n3P2/3P4/1kpK4/7P/4B3/8 b - - 0 50,908
n4k1b/5p1p/3N2pP/2pPp3/r3P1P1/1R3P2/1P5R/4K3 b - - 0 38,909
8/5p2/2r5/8/3Bk3/8/R7/5K2 w - - 4 55,91
3br1r1/1kn3p1/2p1ppNp/1P5P/P1QP1PP1/8/3B4/1K6 b - - 0 35,910
1rb1r3/1p3qbk/pnp3Np/2p1P3/P1P2N2/6PP/1PQ3BK/3RR3 w - - 3 34,9100
2BN4/R2n1pk1/1p2bn2/3p2p1/3Pp1Pp/4P2P/1P3P2/6K1 b - - 3 46,911
5Q2/pppk4/3p2p1/2q1P3/P1B1P2p/2PP3P/4nRP1/R5K1 w - - 3 26,9110
2r2nk1/1p3p2/pqnpb1p1/7p/1P2NP2/P5PP/3Q2BK/2RR4 w - - 0 36,912
2r5/5n1k/8/R2R4/3p4/7P/P4PP1/6K1 b - - 4 42,913
r1b1r1k1/ppbpqp2/2p2p1B/3P4/4N3/3B1N1P/P4PP1/R2QR1K1 w - - 3 20,9130
r3q1k1/8/3p2n1/3PpB2/2pB2QN/1r4P1/1P2PP2/3R2K1 w - e6 0 38,9134
8/5k2/3P3p/R3K3/4P3/8/p7/r7 w - - 2 60,914
5rk1/p2np2p/3p1pp1/2pP4/2P1qB2/1Pb1P3/4QPPP/3B1RK1 w - - 0 22,915
1R1n4/2r1k3/P7/K7/1P6/8/8/8 w - - 13 70,916
q7/6bk/P2p1npp/2pP4/P3p2N/6P1/4QPKP/3R4 b - - 2 36,917
2Q4r/4kppp/4p3/3nP1q1/1P4n1/P7/5PPP/RN2R1K1 w - - 1 22,918
2Qn2r1/p2R1p1k/5P1p/bp3P2/4N2p/P6P/1P3P2/R6K b - - 0 31,9180
1rb3k1/1p2q2p/3p3Q/pPpPp1PR/2P1P3/P1N2r2/5P2/2K3R1 w - - 1 26,9184
2nr1rk1/pp3ppp/2p1qP2/P3P3/4R3/6Q1/1P2R1PP/5BK1 b - - 2 30,919
r1b2rk1/4qpp1/pR1p1bn1/2pPp2n/Q1P1P2p/P3BN1P/2B1NPP1/1R4K1 b - - 9 22,92
6R1/8/7k/8/3K2p1/6P1/4B2P/r7 w - - 9 67,920
1RQ5/8/p3P2r/P2Pp3/4P2k/6p1/K1Q5/2b3q1 b - - 0 57,9203
5rk1/2Q3pp/p5p1/1p2P3/3P3r/P3R2P/1BP2PP1/R5K1 b - - 0 26,9205
1r6/p4p2/2kp1B2/2p1pB1P/1pP1P1p1/3P4/PP5K/8 b - - 0 36,921
1rq5/1p2nk2/3p2p1/p2P1bN1/P1PQ4/4B3/1P5P/5BK1 b - - 3 33,922
4rbk1/pb3p1p/1p2p1pB/4N2Q/4q3/1BR5/P4PPP/2R3K1 w - - 2 26,923
8/8/1n4Bk/p2n3P/3R1p1P/P4P2/5K2/8 w - - 3 47,924
1r3r2/3Rq1kp/p3p1pn/1n6/5P2/6PP/P2QP1B1/3NR1K1 b - - 1 28,925
b2rn1k1/2rn4/p1p3pp/NpP4q/1N4R1/P5PB/2Q2P1P/1R4K1 w - - 3 29,926
3r4/1pr2bk1/4qpp1/PR1p3p/3R3P/2Q1P1P1/4BP2/6K1 w - - 1 36,927
5k2/1bq4p/3pBppP/1n1P2B1/1P3Q2/8/5PP1/6K1 b - - 6 40,928
1R3nk1/6p1/p1pN1p1p/P1P4P/1PP2KP1/8/8/1r6 w - - 7 56,929
q4rk1/4ppbp/r2p1np1/2pP4/n3PB2/2N2NPP/PPQ2PK1/R3R3 w - - 7 16,93
5r2/2qr2k1/4Rp2/2p3p1/pP1PQ3/P4PP1/6K1/4R3 w - - 0 47,930
2r3r1/3b1p1p/2pBpk2/p1P3q1/1b6/3B1QP1/P4P1P/1R3RK1 b - - 6 25,931
r2qr1k1/3bppb1/p2p2p1/1pp2PNN/4P2Q/3PBR1P/PPP5/5RK1 b - - 0 25,9315
8/3p4/1ppK4/1kn5/3Q4/8/8/8 b - - 21 55,932
r1b3rk/1p2P1np/p7/3p1p2/3Q1P2/8/PPP1B2P/6RK b - - 1 27,933
4r1k1/5pb1/Q3Nn1p/p5p1/P7/1P2B1NP/2q2PP1/2R3K1 b - - 2 32,934
8/p2k1p1p/PP3rp1/8/1KR4P/8/5P2/8 w - - 3 44,935
5k2/6R1/1p1n3P/r3p3/8/8/1B3PP1/6K1 w - - 0 36,936
r5k1/2p2p1p/P5p1/qP1PP3/8/5P2/4Q2P/2R4K b - - 0 41,937
2r3k1/p4r2/3p3q/3P4/1b2p1p1/6P1/R1P4P/3Q1R1K w - - 0 33,938
r4rk1/pp1b2q1/2nN3p/6PQ/3P4/2PBp2P/P5P1/R4RK1 w - - 3 23,9381
r7/6p1/1B3p2/PnR2k2/7p/7P/4KPP1/8 b - - 9 40,939
k2rr3/bpqn1pp1/p3pn1p/2P5/1P3P1P/2N2NP1/P2BQ3/1KR4R w - - 1 23,94
2Q5/1p3pbk/4p1p1/P5q1/2P5/P7/K6R/8 b - - 1 45,940
8/6pk/1p3b1p/p2Q4/q7/2p1BKP1/3R1P1P/8 w - - 0 37,941
8/8/1r2K3/6RP/8/5kP1/8/8 w - - 5 57,942
r2rnnk1/pp2RNbp/3p2p1/q1pP4/b1P2BP1/P4N1P/6B1/3QR1K1 w - - 3 25,943
r1bq2k1/pppp2pp/2n2r2/2b5/4Q3/2PB1N2/PP4PP/RNB2K1R w - - 0 12,944
4r1r1/1k1PP1p1/1p5p/4R2P/2p2B2/PpP3P1/1P6/1K6 b - - 0 45,945
r3kn2/ppn1b2p/2p3p1/2P3N1/1q1P4/8/PP2Q1PP/4RR1K b - - 0 23,946
1r3b1k/p1q2Qp1/4rn1N/2pP3P/1pP5/8/PP3PP1/1K1R4 w - - 0 29,947
8/8/8/1p3k1p/5P2/1P2K3/7P/8 b - - 0 40,948
1r2r1k1/3n1p1p/1nQ3p1/qB1Pp3/P3P3/4B1PP/5P2/1RR3K1 w - - 3 34,949
r4rk1/1p2q1pp/p1b1p3/3p2P1/3Q1P1P/1P6/P1P3B1/1K1R3R b - - 2 23,95
6k1/2rbpp1p/Qn1p1np1/3P4/3N3P/3N2P1/P2qPPB1/2R3K1 w - - 7 31,950
8/5r2/p2p4/2k3BP/B2p4/1p1K1P2/1P4P1/8 b - - 0 50,951
r2q3k/n1R3b1/Pp1P4/4p2p/1B2Ppp1/3Q1PP1/6BP/6K1 b - - 4 31,952
4r3/Pbq2pkp/3p1n2/2nP1p2/2p5/4Q1P1/4PPBP/RR4K1 w - - 0 33,953
8/5R2/5B1k/1Pn2P2/2p2K2/3r4/8/8 b - - 0 55,954
6k1/2q2p2/p4n2/4pN2/1P4Pp/8/P5BP/3Q3K w - - 11 57,955
r1b3r1/ppq1n2k/2p1p2B/4Pp2/2P2QP1/8/PP3PB1/R2R2K1 w - - 1 22,956
3r1b1k/1bq2r1p/1p1p1n2/pPpP1B2/P1N1PB2/4R2Q/7P/6RK w - - 3 41,957
6k1/2R4p/5P2/5KP1/r7/5P2/3n2P1/8 w - - 9 60,958
2b1r1r1/ppp2kPp/1q6/4QP2/2pN4/8/PPP3PP/3RR1K1 w - - 1 24,959
8/4k3/5p2/3R4/4P1K1/1r3P2/8/8 b - - 18 72,96
4bk2/R6p/3P2p1/2N1Kp2/2p1N3/7P/6r1/8 b - - 0 48,960
1k6/b4Q2/4n3/8/7P/6P1/1r3PK1/8 w - - 0 65,961
5r2/3N2k1/p3pr2/P4p2/5p2/5Q2/2P3PP/7K w - - 2 45,962
3q2k1/pp3pbp/3n2p1/3N4/3P1BP1/2R2Q2/PP3PKP/r7 w - - 11 28,963
q3rk2/5p1Q/2p2b2/1p2r3/1P2p3/P1N1B3/6K1/2R4R w - - 0 35,964
2rr3k/p2qp1bp/1Pn2p2/1B1N2p1/Q2P4/4B3/P4PPP/3R1RK1 b - - 0 22,965
6r1/1q2n1k1/3p2p1/p1pP4/P4QB1/1P6/4PPK1/7R w - - 5 41,966
r7/pp1r1p1k/5Qp1/2p5/8/8/PP3PP1/R5K1 w - - 1 30,967
8/3r4/1p1P1p2/3N4/P1p2B2/3k2P1/5P2/5K2 b - - 2 59,968
1krq1b2/p4p2/1r1P1N1p/4Q2P/1p3PP1/1Pp5/P1R5/1K1R4 w - - 2 41,969
5rk1/p3q2p/3pp1p1/P1pnP3/1n4N1/1P4P1/1R1Q1PBP/6K1 w - - 1 31,97
1r6/q4nkp/p2p1Pp1/2p2b2/2B2P2/P1N1Q2P/6P1/4R1K1 b - - 0 30,970
4r2k/1p3pp1/p7/3p3P/2nP2P1/P4Q2/1P3P2/2B4K b - - 2 32,971
2r4R/5k2/1p1n4/3P1p2/3B2p1/5BP1/r6P/3R2K1 w - - 3 45,972
6R1/1p1nkp1R/p2p2p1/3Pp1P1/4P1P1/P2q4/5PK1/7Q b - - 2 34,973
5rk1/1pp2p2/p5r1/4pN1p/4P3/1PP1PQ1P/1q4PK/3R4 w - - 0 27,974
8/6k1/P1n3pp/5p1P/4p1P1/P1K1N3/5P2/8 w - - 0 46,975
4r2k/2Q4p/1P4p1/3P1r2/5P2/6P1/6KP/8 w - - 3 32,976
2q1r2k/R1P3b1/6pp/1p1Q4/1P3P2/4B2P/6P1/6K1 w - - 0 38,977
8/8/5r2/3k4/PPR5/1K6/8/8 b - - 0 79,978
8/p6p/5R2/2k4r/2pR4/2P5/PP3P2/2K5 w - - 3 31,979
1r1q1rk1/1ppbbppp/p2np3/8/P2P1P2/1QN2N2/1P2PPBP/R4RK1 w - - 1 16,98
4k3/p6R/3R4/2p5/2Pn2p1/P5P1/5PKP/1r6 w - - 2 47,980
1n2r3/1k5p/3pN1p1/B2P4/q2b4/5PP1/1P1Q2KP/2R5 b - - 4 35,981
8/ppp1k2p/5n2/2b3p1/5pq1/1QPP1N2/PP3PPP/R5K1 w - - 0 23,982
5bk1/r4b2/1pP3p1/p3P2p/2P2p1P/q1NQ1B2/5P2/3R2K1 w - - 1 39,983
2r4k/b5pp/p7/P1P2p2/1P3B2/1b4P1/5PBP/3R2K1 w - - 3 32,984
1bk2rr1/p1qn1p1p/4p1pP/2P4n/P2P4/3N1QN1/5PP1/1RB2RK1 b - - 4 24,985
3n1rk1/r4p1p/1P1p1R2/2N5/p1B1P3/8/6PP/5RK1 b - - 0 25,986
3q4/pp6/2n2Rk1/r4pN1/5p2/2Q5/PP3PP1/4R1K1 b - - 0 29,987
8/8/PR1pk3/4b3/2P2P2/1P2BK2/r7/8 b - - 0 48,988
8/5k2/5p2/p1n2N1P/P1K2P2/1P6/8/8 b - - 2 56,989
r4rk1/6pp/2pb4/pbNpn3/3B4/2P2q2/P1NQ2PP/R3R1K1 w - - 0 25,99
8/8/1p1npp1k/3b4/pB1P1KPP/P2B4/1P6/8 b - - 2 39,990
r1b1k2r/pp2nppp/4p3/3P3q/2P5/BQ3N2/P4PPP/R4RK1 w kq - 1 16,991
4Q3/1p1r2p1/p2k3p/2p4P/2P3P1/PR1n1q2/KP1B4/8 b - - 14 42,992
8/6p1/7p/1P3pbP/P1k5/6B1/3p4/3K4 w - - 0 43,993
2k5/3R4/2Kp4/3Pb3/1pp2p2/1P3P2/8/8 w - - 0 85,994
8/k2nr3/pp1N2Qp/2bRpP1P/2P5/P7/KP2q1PB/8 w - - 3 41,995
rn2r3/pp2qppk/1b1pN3/3P1R2/8/8/PP4PP/R1BQ3K w - - 5 20,996
6rk/6pp/3P4/4P3/6Q1/2n3PP/3q1PB1/4R1K1 w - - 3 34,997
8/3R4/kP6/2P1p3/4P1p1/1r4P1/6K1/8 w - - 3 60,998
1Q6/8/p6k/P3p1pp/4pp2/5P1P/3r2PK/8 w - - 0 77,999
r1bq1rk1/pp1n1ppp/4pn2/3p4/1bPP4/1P1B1N2/PB1N1PPP/R2Q1RK1 b - - 0 10,-1
r5k1/8/5p2/1PR3p1/2P5/8/p7/K7 b - - 0 59,-10
8/p4p1p/1p2k1p1/1Pb1p3/4P3/5P2/P2B2KP/8 b - - 8 42,-100
2k2r1r/1p6/1P1q4/3pp1p1/P1p2nQ1/2P1B3/8/R3KR2 b - - 0 34,-1000
5k2/8/1p2P1Kp/8/5Pb1/p1b5/P7/1B6 b - - 2 53,-1001
8/pp5p/8/1p3p1k/4bK1P/P7/1P3P2/8 w - - 4 37,-1002
5rk1/1pp5/3p2q1/pP2p3/P4r2/2PP2pP/R2NQbP1/5R1K b - - 1 29,-1003
r1b2rk1/ppp2pp1/4q1np/3pp1Q1/8/2P1N3/PP5R/R3K3 w Q - 0 24,-1004
8/5p2/3p4/2pbk1p1/pp4P1/5B2/1P6/K7 w - - 0 43,-1005
4n1k1/3b4/4ppp1/2p5/6qP/N2P4/1P3R2/5RK1 w - - 0 30,-1006
1R2B3/p1r2p2/1b2pkp1/7p/4K3/6P1/7P/8 b - - 3 39,-1007
